user_id,first_name,last_name,email,password_hash,role,created_at,account_status
1,Alexandra,Walker,mbarry@example.com,0f4f1d0b3b3f9dc719ef8de62557fa9689c82be6ff70f7e6dbe6956ba092b3a4,seller,2026-01-19T08:55:27.706224,suspended
2,David,Green,bishopstacey@example.com,78172265b856fee7be8b7a773f4acd7f2a4013e422e84c2bc63181b462dd7a0b,seller,2026-01-08T00:12:18.048441,active
3,Shelley,Anderson,gabrielleryan@example.org,99433c2dbf59b05e9d555dc92a7667556e00c520436d2f191eb88dcb98cf669e,seller,2026-03-01T08:03:56.446130,active
4,Michelle,Espinoza,imorrison@example.net,c9c46347155a09b215d987948e56df7a2bb14b96830e42ee6977e56874a8b505,seller,2026-01-28T07:41:29.553110,active
5,Maria,Rice,jcarter@example.net,cc11116dd7acd386f22cf86d6a5b866a5757823b6c4c16f2711ac61bf292ceb9,seller,2026-03-28T18:08:48.981510,active
6,Henry,Owens,melissahinton@example.com,479fa764f8783ec66d8b6271b6c041b3182255e612baa9c564694c8dddb4bf25,seller,2026-01-05T15:34:04.470642,suspended
7,Nicole,Nguyen,pshaw@example.com,6e165041090b92875a98aeb2f63d6f3211cbb8c17ba6cd007a3325f3bf813e87,seller,2026-02-18T02:15:59.600272,suspended
8,Aaron,Smith,warnerlisa@example.com,3aa0139e64847ad1d6e0bac6bd9b45c6fad0b4f190a466333abfefad3f2fa8af,seller,2026-03-08T04:09:33.330662,suspended
9,Ronald,Martin,jamesjerry@example.com,754792f99f3b0a2ef94bee69a59c2777e05281b0dd06670bc4cfda7a45116fff,seller,2026-02-10T00:03:19.743214,active
10,Grace,Cruz,jimmysimpson@example.com,6da1db25fa8f5ecb56a614c0cd3eb47dc2c532bba1a5bdc393cf00f02e012f7e,seller,2026-03-24T23:14:53.593930,inactive
11,Andrea,Williams,annemoore@example.net,41366e658b03514b5f33f7b9c26e4a0873bb9a260f4360c435587dd215725e3a,seller,2026-02-28T12:32:34.434788,suspended
12,Daniel,Marshall,ecarter@example.org,3d501179ec81386271adb0eb3a363c54309766422eb76f5ab33bc7e7de2d3ae5,seller,2026-01-20T08:35:48.341680,active
13,Andrew,Snyder,mwilliams@example.net,491cda2e44c4367581cdbc6875dcd89630f141bedd7b18b435c3ceaff647c62b,seller,2026-02-15T17:43:24.546963,suspended
14,Mariah,Ross,katherine06@example.net,b9ed7644da2148ae4846f3fb2f6caa7345c77e06e1ab3104ba348b5c5b428fca,seller,2026-02-26T06:13:05.851782,suspended
15,Julia,Garcia,villanuevakevin@example.com,fcffe64d0627cb119dbca8553ada7f045847358a8a19032855bffbd3860cd35b,seller,2026-01-28T17:43:50.691465,active
16,Robert,Nguyen,robert86@example.org,63fb6ce5790223b689d5dd2509d9e588b3cdf6705a98ab4d6908fbe3afc3d41c,seller,2026-03-20T18:46:01.335727,suspended
17,Cristian,Marshall,burnettmichaela@example.net,4df48926153b79d480d4e71946eab6db044584f017c8c8c254a440390f3f1563,seller,2026-02-12T05:58:46.592826,active
18,Amber,Esparza,floresnatasha@example.net,7a1b4b2eeb4b2a4c18b981cee4257d870741801bc69256e7982cee9f410b01c6,seller,2026-02-21T11:10:03.820703,active
19,Mark,Carter,rojaskenneth@example.net,9a76080435b93116c04ca729548a2f117b49b145dc6e79ce69293f194b6eceeb,seller,2026-03-05T12:23:44.480180,inactive
20,Ryan,Lawson,yateskenneth@example.net,90d825af6fc013fe8cf7dc92c831b67b55251fbf2df714e3766b658dd8a6ef7f,seller,2026-02-10T07:57:54.560960,inactive
21,Erin,Rodriguez,qmitchell@example.com,65dc6dfb71dfee60df32bda479de0c83897191285a9f7a7939bbee59db719b4c,seller,2026-02-01T04:29:43.705570,inactive
22,Jasmin,Garza,edwinchen@example.org,06f51501e0d52bba978a108fd09cd33cf163fc6c588162074897a67d7324cb69,seller,2026-03-21T06:04:34.555202,suspended
23,Casey,Bowers,grayanna@example.org,f615b4d05d69b001e5c19a35496dfc2f974658c66f8459e8c962f0539ba9491e,seller,2026-03-12T13:04:33.321762,suspended
24,Morgan,Henderson,tammybaker@example.com,d9e138ae9c64da03cc848a001e9000b6f4fbc2918da08e27645300a02236916d,seller,2026-01-31T09:09:36.963728,suspended
25,Cathy,Clay,olsenmelissa@example.org,879b9162c413812a0178747a0e9588f43c03e57b9972ba605db32f1979195a5d,seller,2026-02-04T15:00:42.336859,suspended
26,Shawna,Smith,fblack@example.net,73faad3d87c117b885bf7d2969ab9272ee4a82bd97a90cb0dab2979b147655f6,seller,2026-01-17T10:24:10.802863,suspended
27,Angel,Hughes,bridget10@example.net,e69db5a814a95efac1c8b428d9bb206f23b00fe852e5de85945ecb21d0fb0a7a,seller,2026-03-05T11:14:57.820793,active
28,Jessica,Allen,jason67@example.org,2a8815b7c32b1f67fb9c26f47426d5e9625a79e726380dde51b0c3235e8bbc14,seller,2026-01-22T00:29:34.711082,suspended
29,Travis,Arroyo,cchapman@example.org,9cfd41d2f3ae3afd0247cb4f5478bf27cc3c1f1cc7f0585f86c33554174ec449,seller,2026-02-26T04:57:58.907921,inactive
30,Daniel,Dickson,robertwalsh@example.net,bd276f3ad992d80353776db3cbe0c0e79fc41a3406a3a87fb5dd96dfa6fea4c3,seller,2026-03-26T23:14:08.017167,inactive
31,Alexander,,josemills@example.net,7b6c75cb219266b0391b5fa63567b5d4e6b1788c2747116935d6d57188cf99c6,seller,2026-01-11T23:29:47.080656,inactive
32,Donna,Bright,vsanders@example.com,77164082952a0f09e9856cda8f9d45ac14c53e3535e2c392787279eca904b4a7,seller,2026-02-22T10:45:46.467622,active
33,Cameron,Richardson,qwilson@example.org,0afd36e17471953aee2e5f0b75b6ba2c6e2182ded87222439162d33d8c5eb754,seller,2026-03-06T01:20:09.398502,inactive
34,Marie,Elliott,michael01@example.com,62eaa890f02b32183f6ca302ad6c2723cfa0a45779073b2dc82905a0a7fbab30,seller,2026-02-17T01:55:37.341480,active
35,Edward,Hull,tommybradshaw@example.com,f46987dc37a0fc72e6e7cf58a77b4ec28a14dcc42ffd40515bc74dc6e81ae3e5,seller,2026-01-09T15:41:38.734798,inactive
36,Stephanie,Edwards,seansnyder@example.org,b60904d193a84a47b174f75ffc0f43cca40cebe2197fef9562b187b6bfd2cf16,seller,2026-03-04T01:05:56.363650,inactive
37,Alexander,,charlespatel@example.com,4e846a0901d4b34acdbfa10704c0774fa52b341a7f010d170ec7582f37952887,seller,2026-03-17T14:34:40.892469,inactive
38,Nicole,,wilsonmelissa@example.net,8d48c74f2d9deacc255c1b3cd466ec38fc4cf8582c7105763a37ab9846976dd0,seller,2026-01-20T21:35:23.612176,active
39,Phillip,,fshelton@example.net,c559e9620654295f2855aa866ce1ec54ef21d5473a4a11f1eb666105dec1ba9a,seller,2026-03-16T18:36:06.559550,active
40,Ronald,Howard,annapeterson@example.net,505f8bf843de3c2b76982d9fecaed756898788563110190b7e098517c44c26f8,seller,2026-03-02T22:11:18.296543,inactive
41,Linda,Scott,henrynguyen@example.org,f274653f4a95c677e5bd9cf41a37f753ff741870186d98243010c867487c3c64,buyer,2026-03-20T02:11:50.745023,inactive
42,Steven,Lee,seansingleton@example.net,0075dbdbcceca230e46a4458f2244fd59abd4227f539e556a96a55c099b19a43,buyer,2026-01-12T18:03:32.521533,active
43,Tina,,jasminrogers@example.com,e676b8791cf890ae69288aa072740a0175c3f6284059ebc8fb3f49281a4ff83b,buyer,2026-01-22T21:49:00.770782,suspended
44,Tyler,Black,michaelsavage@example.com,48754b0f4063c2d4ab226aad1dc6cf888805978484232098280f1844583297eb,buyer,2026-03-12T02:41:55.825123,suspended
45,Christopher,Eaton,williamlawrence@example.com,4a46ccb55e98a88cfc6312d5f4ac4c3360785459f5fc9e2394b320840df393e0,buyer,2026-02-01T16:18:38.542672,suspended
46,Jesse,Carter,ghall@example.org,9498c8fd891068bee73bef88118d7189b34a71d4de0a2fdd7afd4574f5d22d3e,buyer,2026-01-14T13:35:48.479568,inactive
47,Anna,Reyes,rebecca37@example.org,135a0c0f5d91372eeaa39c6804f62d453729b817fae2d826b00454bfef8fd066,buyer,2026-02-10T18:23:01.089153,active
48,Kevin,Joseph,wrightalexis@example.com,3924c9164273ce496d00402f43a9d007db4fc21fc316a86a9f9ab32fd7551c69,buyer,2026-01-13T21:32:06.592406,inactive
49,Christina,Kelly,lsnyder@example.net,3e014f06c4668d1558d8b143111d4213f8e88a6fce4715ccf38cdb5d6a86485a,buyer,2026-01-14T12:41:13.277167,
50,Katherine,Gomez,sandersandrew@example.net,172378f09f20d5b239001c0fee118c1e4abdd9d2f97520ae700c883cd8fd23a9,buyer,2026-03-23T20:03:59.995722,inactive
51,Michael,Hamilton,ebridges@example.net,6a9fe1cbc389a6ed30719026f117dc43010e445c1d4e1d4da4cbd3c254685d3b,buyer,2026-03-11T19:07:08.410893,inactive
52,Wendy,Rivera,zenglish@example.org,77ab80d58ad876b9530646db3cc7526185da32c277a3e443e2a96e9174fa4a76,buyer,2026-03-08T20:41:21.197969,inactive
53,Brenda,Morgan,jamesboone@example.org,7f523d45c13ba8765542eafaa6003b7017dbb51bf3984782919e1fc7db6b5989,buyer,2026-03-02T23:39:29.477503,active
54,Evan,Clark,randy96@example.org,43417c11443738230751d904cedb587149e88f94b814d06f4fb185725d1e41ad,buyer,2026-01-10T10:05:09.381269,suspended
55,Kenneth,Gill,christopher17@example.net,a21f666f62fe1fd4c266b06c3f63c5c47b91ca244c67964fc35649ecc28de156,buyer,2026-03-22T20:00:56.605989,inactive
56,Bryan,Lang,reesegina@example.org,4f9bed7d3a18e4c0fec501a230750c4875b67a23c4b1ac0f6f5514c2e08c0987,buyer,2026-01-29T23:17:33.938313,active
57,Tara,Johnson,christopherjohnson@example.org,69757e198958e57208887eb6a5ce5b97a03c1bc34903f01470076f02787d1afa,buyer,2026-03-15T03:49:37.392687,suspended
58,Kristin,Davis,andrew04@example.net,8427b739ec1e79f68deadace334138b4bc51e6bd7589bc6dbe95ad49237593d9,buyer,2026-02-03T03:39:07.142097,active
59,Bradley,,jasmineallen@example.org,c15d16463fda0b60dca5e78be249d519740f65e9544290143daba9ce78e50263,buyer,2026-03-03T17:08:59.958245,suspended
